id,teacher_id,result,lesson_datetime,created_at
1,110250,1,01/11/2020 17:00,01/17/2020 9:00
2,110250,1,01/11/2020 16:30,01/17/2020 9:00
3,110250,1,01/10/2020 16:00,01/17/2020 9:00
4,110011,1,01/10/2020 17:00,01/17/2020 9:00
5,110011,2,01/10/2020 21:00,01/17/2020 9:00
6,110011,1,01/10/2020 23:00,01/17/2020 9:00
7,110030,1,01/10/2020 21:30,01/17/2020 9:00
8,110030,1,01/10/2020 20:00,01/17/2020 9:00
9,110030,1,01/10/2020 19:30,01/17/2020 9:00
10,110023,1,01/07/2020 17:00,01/17/2020 9:00
11,110023,1,01/06/2020 17:00,01/17/2020 9:00
12,110023,2,01/08/2020 16:30,01/17/2020 9:00
13,110033,1,01/07/2020 15:30,01/17/2020 9:00
14,110033,2,01/06/2020 16:30,01/17/2020 9:00
15,110033,1,01/07/2020 10:30,01/17/2020 9:00
